"","Day","Mean Pressure (hPa)","Absolute Daily Max Air Temperature (deg. C)","Mean Air Temperature (deg. C)","Absolute Daily Min Air Temperature (deg. C)","Mean Dew Point (deg. C)","Mean Relative Humidity (%)","Mean Amount of Cloud (%)","Total Rainfall (mm)","Total Bright Sunshine (hours)","Prevailing Wind Direction (degrees)","Mean Wind Speed (km/h)","WeekID","GP","Date"
"1108",12,1018.7,18.7,16.4,14.1,10.7,69,72,"Trace",2.1,"30","12.3",159,4.77142857142857,2013-01-12
"1109",13,1015.5,19.2,16.8,14.1,11,69,24,"0.0",9.4,"10","10.1",159,4.77142857142857,2013-01-13
"1110",14,1019.1,18.7,15.7,12.8,9.3,66,9,"0.0",9.8,"20","22.5",159,4.77142857142857,2013-01-14
"1111",15,1021.3,17.1,15.9,14.1,11.3,74,77,"0.0",0.6,"70","30.3",159,4.77142857142857,2013-01-15
"1112",16,1021.2,21.4,17.4,14.9,11.9,71,4,"0.0",9.6,"50","17.3",159,4.77142857142857,2013-01-16
"1113",17,1024.4,19.6,16.9,15.2,10.7,67,26,"0.0",9.5,"70","29.5",159,4.77142857142857,2013-01-17
"1114",18,1026.8,16.6,14.6,13.3,8.9,69,70,"0.0",4.1,"90","25.9",159,4.77142857142857,2013-01-18
"1115",19,1023.4,17.4,15,12.9,9.5,70,60,"0.0",8,"70","28.7",160,5.21428571428571,2013-01-19
"1116",20,1020.6,19.1,17.8,15.8,13.2,75,85,"0.0",0,"60","25",160,5.21428571428571,2013-01-20
"1117",21,1019.6,22.8,20.4,18.9,16,76,78,"0.0",3.9,"50","20.6",160,5.21428571428571,2013-01-21
"1118",22,1019.1,25.6,21.3,18.9,17.3,78,59,"Trace",7.9,"40","13.6",160,5.21428571428571,2013-01-22
"1119",23,1019.3,20,18.1,16.8,15.7,86,81,"0.0",2.3,"70","18.6",160,5.21428571428571,2013-01-23
"1120",24,1018.4,21.5,18.9,16.6,14.9,78,44,"0.0",7.5,"50","13.3",160,5.21428571428571,2013-01-24
"1121",25,1019.2,20.8,18.1,15.9,13.2,74,40,"0.0",7.7,"60","16.6",160,5.21428571428571,2013-01-25
"1122",26,1018.9,19.8,17.7,16.3,14.1,80,74,"2.8",7.1,"70","22.3",161,6.22857142857143,2013-01-26
"1123",27,1022,17.7,16.4,15.5,13.8,85,86,"0.6",0.1,"40","18.7",161,6.22857142857143,2013-01-27
"1124",28,1022.4,18.6,16.2,14.2,9.7,66,49,"0.0",8.2,"80","35",161,6.22857142857143,2013-01-28
"1125",29,1021.9,21.2,17.8,16,11.7,68,56,"Trace",6.9,"60","22",161,6.22857142857143,2013-01-29
"1126",30,1022.6,20.4,18.1,16.6,13.2,74,56,"0.0",9.4,"50","25.8",161,6.22857142857143,2013-01-30
"1127",31,1021.7,20.9,18.6,16.9,12,66,55,"0.0",8.9,"60","23.8",161,6.22857142857143,2013-01-31
"1128",1,1020.1,24.9,20.7,17.4,15.7,73,32,"0.0",8.5,"20","14.5",161,6.22857142857143,2013-02-01
"1129",2,1019.8,26,21.1,18.9,16.1,74,63,"0.0",6.4,"50","20.5",162,5.72857142857143,2013-02-02
"1130",3,1018.9,19.7,18.9,18.2,15.8,82,85,"Trace",0.2,"80","31.9",162,5.72857142857143,2013-02-03
"1131",4,1018.5,23.3,21.2,19.1,18.5,85,88,"Trace",0.3,"50","11.6",162,5.72857142857143,2013-02-04
"1132",5,1017.5,25.2,22.1,20.3,20,88,82,"Trace",4.8,"50","16.6",162,5.72857142857143,2013-02-05
"1133",6,1015.9,24.6,21.3,19.3,19,87,81,"Trace",4.2,"50","17",162,5.72857142857143,2013-02-06
"1134",7,1014.3,20.6,19.1,18.1,17,87,88,"Trace",1.5,"70","31",162,5.72857142857143,2013-02-07
"1135",8,1019.3,18.7,16.4,14.4,14,86,88,"0.2",0,"80","42.8",162,5.72857142857143,2013-02-08
"1136",9,1022.6,15.8,14.1,11.9,9.3,73,88,"Trace",0.1,"30","22.5",163,3.37142857142857,2013-02-09
"1137",10,1020.6,18.3,15.9,14,12.1,79,87,"Trace",0.1,"40","18.7",163,3.37142857142857,2013-02-10
"1138",11,1020,19.6,17.2,16,13.8,80,70,"Trace",6.8,"90","32",163,3.37142857142857,2013-02-11
"1139",12,1020,22.8,19,16.3,13.9,73,57,"Trace",7.5,"20","17.1",163,3.37142857142857,2013-02-12
"1140",13,1020,20.8,17.4,15.6,11.9,71,60,"Trace",6.5,"20","21",163,3.37142857142857,2013-02-13
"1141",14,1017.3,21.2,18.5,16.7,14.4,77,84,"Trace",2.1,"60","19.4",163,3.37142857142857,2013-02-14
"1142",15,1016.9,24.4,20.8,18,16.5,77,85,"0.5",5.3,"70","14.2",163,3.37142857142857,2013-02-15
"1143",16,1019.1,19.4,17.3,16.2,14.1,82,82,"0.1",4.3,"80","37.2",164,2.92857142857143,2013-02-16
"1144",17,1015.6,21,18.2,16.5,14.6,79,71,"0.0",2,"60","22.1",164,2.92857142857143,2013-02-17
"1145",18,1013.1,25.4,21.1,18.5,18.3,84,79,"0.0",3.8,"40","8.4",164,2.92857142857143,2013-02-18
"1146",19,1014.5,26.2,20.9,17.8,18.4,86,67,"Trace",6.9,"40","14.5",164,2.92857142857143,2013-02-19
"1147",20,1019.9,19,17.3,16,13.4,78,88,"Trace",0.2,"80","34",164,2.92857142857143,2013-02-20
"1148",21,1020.4,21.4,17.7,16.4,14.1,79,58,"Trace",4.7,"80","27.1",164,2.92857142857143,2013-02-21
"1149",22,1021.5,22.4,19.1,16.2,14,73,62,"0.0",5.8,"80","18",164,2.92857142857143,2013-02-22
"1150",23,1023.1,21.8,18,16.2,12.9,72,54,"0.0",7.9,"80","29.8",165,6.22857142857143,2013-02-23
"1151",24,1020.9,20.8,18,16.3,13.2,73,84,"Trace",0.4,"70","33.2",165,6.22857142857143,2013-02-24
"1152",25,1018.9,23.1,19.6,17.3,14.2,71,79,"0.0",2.5,"50","24.6",165,6.22857142857143,2013-02-25
"1153",26,1016.2,23.8,21.3,19.1,18.1,82,88,"0.2",0.5,"50","18.4",165,6.22857142857143,2013-02-26
"1154",27,1014,25.4,22.7,21,19.6,83,72,"Trace",5.4,"30","6.6",165,6.22857142857143,2013-02-27
"1155",28,1013.8,21.9,19,18.3,17.5,91,88,"0.5",0,"50","26.9",165,6.22857142857143,2013-02-28
"1156",1,1014.2,22,20.1,18.2,18.6,91,88,"0.1",0.3,"40","19.1",165,6.22857142857143,2013-03-01
"1157",2,1020.4,21.4,17.9,15.1,15.7,88,88,"0.8",0,"30","30.2",166,6.8,2013-03-02
"1158",3,1023.7,17.4,15.3,13.6,8.7,65,86,"0.0",0.1,"20","24.8",166,6.8,2013-03-03
"1159",4,1023.4,21.7,16.7,13.2,7.3,54,55,"0.0",9.3,"20","19.8",166,6.8,2013-03-04
"1160",5,1023.2,22.3,18.5,15.6,6.3,48,29,"0.0",10,"70","29.1",166,6.8,2013-03-05
"1161",6,1021.2,23.6,19.3,16.3,11.3,61,7,"0.0",10.5,"60","19.5",166,6.8,2013-03-06
"1162",7,1019.8,24.9,20.4,17.2,12.8,63,2,"0.0",10.6,"40","9.8",166,6.8,2013-03-07
"1163",8,1016.8,26.4,21.5,17.6,9.3,49,0,"0.0",10.6,"250","9.7",166,6.8,2013-03-08
"1164",9,1014.9,26.1,21.5,18.1,14.5,65,11,"0.0",10.2,"250","4.4",167,6.78571428571429,2013-03-09
"1165",10,1014.7,26.4,21.5,18.5,15.3,69,3,"0.0",10.8,"30","7.5",167,6.78571428571429,2013-03-10
"1166",11,1016.7,23.2,20.3,18.7,16.2,78,54,"Trace",6.4,"80","24.3",167,6.78571428571429,2013-03-11
"1167",12,1015.8,23.5,20.4,18.1,16.6,79,71,"0.2",8.5,"60","22.4",167,6.78571428571429,2013-03-12
"1168",13,1014.5,26.6,22.8,20.3,19,80,68,"Trace",5,"30","9.8",167,6.78571428571429,2013-03-13
"1169",14,1019.2,22.1,19.9,18.4,16.6,82,78,"Trace",0.1,"90","33.8",167,6.78571428571429,2013-03-14
"1170",15,1021.3,22.3,19.2,17.7,14.8,76,69,"0.0",6.1,"80","27.9",167,6.78571428571429,2013-03-15
"1171",16,1019.4,23.2,20,18.5,16,78,51,"0.0",5.8,"60","21.4",168,5.82857142857143,2013-03-16
"1172",17,1013.7,23.4,21.2,19,18.8,86,82,"0.0",2.1,"40","13.7",168,5.82857142857143,2013-03-17
"1173",18,1010.6,26.3,23.6,21.2,20.7,84,81,"0.0",3.5,"240","8.5",168,5.82857142857143,2013-03-18
"1174",19,1010.8,27.6,24.3,22.4,22,88,86,"18.2",0.4,"190","14.8",168,5.82857142857143,2013-03-19
"1175",20,1012.1,28.3,25.1,23.5,21.5,81,70,"Trace",4.2,"200","11.2",168,5.82857142857143,2013-03-20
"1176",21,1013.8,23.8,20.8,19,19,90,85,"0.8",0,"60","24.4",168,5.82857142857143,2013-03-21
"1177",22,1013.3,26,21.5,18.9,19,86,74,"0.0",6.8,"60","16.5",168,5.82857142857143,2013-03-22
"1178",23,1011.5,26.2,23.3,21.3,20.1,83,78,"0.0",3.1,"210","8.3",169,6.8,2013-03-23
"1179",24,1010.4,25.7,23.4,21.4,21.2,88,79,"1.1",1.7,"200","5.3",169,6.8,2013-03-24
"1180",25,1012,23.1,21.2,19.5,19.7,91,88,"0.9",0,"100","31.1",169,6.8,2013-03-25
"1181",26,1011.4,19.8,19,18.4,18.4,97,90,"13.6",0,"60","31.7",169,6.8,2013-03-26
"1182",27,1013.1,21.7,20,18.6,18.2,90,84,"1.5",0.4,"50","16",169,6.8,2013-03-27
"1183",28,1012.5,20.4,19.7,18.8,18.7,94,89,"31.4",0.3,"60","23.6",169,6.8,2013-03-28
"1184",29,1013.2,22.4,20.3,18.7,18.9,92,89,"2.7",0.4,"30","20",169,6.8,2013-03-29
"1185",30,1013.1,19.6,18.7,17.8,17.9,95,94,"58.2",0,"80","39.8",170,7.67142857142857,2013-03-30
"1186",31,1014.5,21,19.7,19,18.8,94,88,"1.0",0.2,"70","26.6",170,7.67142857142857,2013-03-31
"1187",1,1015.4,22.4,20.1,18.6,17.3,84,85,"0.1",1,"60","26",170,7.67142857142857,2013-04-01
"1188",2,1014,22.5,21.1,20,19.9,93,86,"13.3",0.1,"40","16.9",170,7.67142857142857,2013-04-02
"1189",3,1012,20,19.1,18.2,17.6,91,90,"9.2",0.3,"70","35.2",170,7.67142857142857,2013-04-03
"1190",4,1007.8,20.2,19.3,18.5,18.6,96,88,"0.5",0,"60","24",170,7.67142857142857,2013-04-04
"1191",5,1003,26.2,23.3,19.7,22.5,95,88,"34.7",0,"240","21.5",170,7.67142857142857,2013-04-05
"1192",6,1008,25,20.4,17.1,16,77,79,"36.8",2.7,"20","35.8",171,7.01428571428571,2013-04-06
"1193",7,1013,19,17.4,15.2,10.9,66,77,"0.0",0,"20","29.8",171,7.01428571428571,2013-04-07
"1194",8,1013,19.5,18.8,18,14.7,77,87,"Trace",0,"70","32.8",171,7.01428571428571,2013-04-08
"1195",9,1014.3,21.2,19.4,18.4,18.5,95,88,"25.1",0.5,"40","23.9",171,7.01428571428571,2013-04-09
"1196",10,1017.2,19.8,18.4,17.7,17.4,93,89,"14.1",0,"40","25",171,7.01428571428571,2013-04-10
"1197",11,1017.7,18.4,17.3,16,15.4,89,88,"13.8",0,"80","32.3",171,7.01428571428571,2013-04-11
"1198",12,1019.4,19,17.2,15.7,15,87,82,"2.1",0.4,"60","25.8",171,7.01428571428571,2013-04-12
"1199",13,1017,23.1,19.9,17.5,12.9,64,78,"0.0",5.1,"90","19.3",172,5.22857142857143,2013-04-13
"1200",14,1013.6,24.3,21.6,19.7,15.6,69,61,"0.0",5.3,"10","12.5",172,5.22857142857143,2013-04-14
"1201",15,1010.9,27.1,22.9,19.5,18.8,79,30,"0.0",10.8,"60","10.5",172,5.22857142857143,2013-04-15
"1202",16,1008.9,25.2,22.8,21,21,89,73,"0.4",0,"40","6.4",172,5.22857142857143,2013-04-16
"1203",17,1008.1,26.1,24.8,23,23.7,94,88,"15.6",0,"210","14",172,5.22857142857143,2013-04-17
"1204",18,1008.5,27.8,25.5,24.2,23.8,91,85,"8.2",0.9,"220","13.8",172,5.22857142857143,2013-04-18
"1205",19,1009,28.1,25.2,21.7,23.9,93,86,"8.9",0.8,"230","14.7",172,5.22857142857143,2013-04-19
"1206",20,1011,25.4,22.7,20.8,21.4,92,82,"12.2",3.8,"40","17.3",173,7.38571428571429,2013-04-20
"1207",21,1014.1,23.9,22,20.4,20,88,87,"0.3",0.3,"90","31.6",173,7.38571428571429,2013-04-21
"1208",22,1015.5,20.5,19.8,18.9,18,89,88,"1.0",0,"80","38.1",173,7.38571428571429,2013-04-22
"1209",23,1014.5,26.4,22.1,19.4,20.1,89,76,"0.5",4.9,"60","21.9",173,7.38571428571429,2013-04-23
"1210",24,1012.7,29.8,25,22,21.8,83,59,"0.0",6.4,"40","7.7",173,7.38571428571429,2013-04-24
"1211",25,1011.1,30.6,26,23.1,23,85,74,"30.3",6.9,"220","10.2",173,7.38571428571429,2013-04-25
"1212",26,1013,23.5,22.1,21.1,19.1,84,87,"2.9",0.1,"80","32.8",173,7.38571428571429,2013-04-26
"1213",27,1012.8,24.2,21.5,20.5,17.2,77,88,"Trace",0.6,"70","35.7",174,4.47142857142857,2013-04-27
"1214",28,1012.8,23.4,22.1,20.7,20.1,89,88,"Trace",0,"70","28.5",174,4.47142857142857,2013-04-28
"1215",29,1012,25.6,23.7,22.1,22.5,93,86,"Trace",0.3,"90","22.4",174,4.47142857142857,2013-04-29
"1216",30,1009,29.3,24.4,21.1,22.3,89,83,"23.8",2.4,"220","20.4",174,4.47142857142857,2013-04-30
"1217",1,1009.5,25.1,21.8,20.1,19.4,86,76,"1.2",2.7,"100","30.6",174,4.47142857142857,2013-05-01
"1218",2,1010.6,21.9,19.3,16.6,14.1,73,87,"0.9",0.7,"60","44.4",174,4.47142857142857,2013-05-02
"1219",3,1011.1,22.1,19.7,18.7,17,85,88,"33.8",0.1,"60","35.5",174,4.47142857142857,2013-05-03
"1220",4,1013.7,22.5,20.8,18.4,17.7,83,87,"Trace",0,"60","27",175,4.68571428571429,2013-05-04
"1221",5,1014.5,24.1,22.1,20.8,19.8,87,86,"Trace",0.2,"60","20.3",175,4.68571428571429,2013-05-05
"1222",6,1013.2,23.7,22.4,21.3,20.8,91,87,"Trace",0,"70","24.1",175,4.68571428571429,2013-05-06
"1223",7,1012.1,25.6,23.3,22.3,21.3,89,88,"Trace",1.5,"70","22.1",175,4.68571428571429,2013-05-07
"1224",8,1011.1,23.2,22.9,22.3,21.7,93,90,"29.7",0,"70","30.4",175,4.68571428571429,2013-05-08
"1225",9,1010,29.2,25.2,22.8,23.6,91,78,"31.3",5.2,"90","13.3",175,4.68571428571429,2013-05-09
"1226",10,1008.2,28.6,25,23.4,23.5,91,77,"23.4",1.4,"70","8.8",175,4.68571428571429,2013-05-10
"1227",11,1006.6,28.9,25.6,23,22.6,84,69,"0.1",6.9,"240","10",176,6.35714285714286,2013-05-11
"1228",12,1007.8,26.5,24.7,24.1,23.3,92,86,"1.4",1.8,"40","13",176,6.35714285714286,2013-05-12
"1229",13,1007.6,29.9,26,23.9,23.8,88,73,"0.2",7.6,"50","13.2",176,6.35714285714286,2013-05-13
"1230",14,1006.5,28.8,26.2,25,24.6,91,72,"Trace",3.9,"130","17.3",176,6.35714285714286,2013-05-14
"1231",15,1005.2,31,28.4,25.9,25.7,85,81,"Trace",1.3,"200","25.9",176,6.35714285714286,2013-05-15
"1232",16,1005.5,30,27.6,24.7,24.9,86,83,"5.4",0,"230","25.9",176,6.35714285714286,2013-05-16
"1233",17,1007.7,27.5,25.9,24.8,24.8,94,86,"13.9",1.7,"40","7.8",176,6.35714285714286,2013-05-17
"1234",18,1006.8,30.8,28.3,25.8,26.1,88,85,"21.0",4.9,"230","18.7",177,6.12857142857143,2013-05-18
"1235",19,1005.4,30.9,29.2,28.2,26.1,84,88,"0.1",4.7,"240","28.4",177,6.12857142857143,2013-05-19
"1236",20,1004.8,31.6,29,25.7,25.5,82,82,"26.0",3.9,"230","25.8",177,6.12857142857143,2013-05-20
"1237",21,1005.5,29,25.7,23.5,24.2,91,86,"26.3",1.6,"60","11.5",177,6.12857142857143,2013-05-21
"1238",22,1006.1,26.2,24.8,23.4,23.9,95,90,"230.8",0,"210","15.8",177,6.12857142857143,2013-05-22
"1239",23,1009,29.4,26.5,24.2,24.1,87,84,"Trace",3.1,"240","7.2",177,6.12857142857143,2013-05-23
"1240",24,1009.6,31.3,27.8,25.6,24.2,81,71,"Trace",8.3,"160","10.8",177,6.12857142857143,2013-05-24
"1241",25,1009.7,26.9,25.7,24.6,25.1,96,89,"52.0",0,"140","17.4",178,5.85714285714286,2013-05-25
"1242",26,1007.6,29.7,27.8,25.5,25.3,87,85,"11.3",1.4,"220","26.8",178,5.85714285714286,2013-05-26
"1243",27,1006.9,29.8,28.8,27.9,25.5,82,86,"0.1",0.8,"240","27",178,5.85714285714286,2013-05-27
"1244",28,1008.9,31.1,29.2,27.7,25.9,83,72,"Trace",5.8,"230","18.4",178,5.85714285714286,2013-05-28
"1245",29,1010.9,31.9,29.1,27.8,25.6,81,76,"0.4",3.6,"210","11.9",178,5.85714285714286,2013-05-29
"1246",30,1010.7,32.5,29.3,27.2,25,78,54,"0.0",8.7,"240","7.9",178,5.85714285714286,2013-05-30
"1247",31,1009.4,33,29.5,27.2,24.5,75,28,"0.0",8.9,"240","13.4",178,5.85714285714286,2013-05-31
"1248",1,1007.7,32.4,29.6,27.7,24.7,76,27,"0.0",12.2,"240","20",179,6.1,2013-06-01
"1249",2,1006.4,32.6,29.8,27.8,24.9,75,52,"Trace",11.3,"250","25.2",179,6.1,2013-06-02
"1250",3,1007,33.7,29.8,27.8,25.2,77,63,"0.0",8.6,"240","20.2",179,6.1,2013-06-03
"1251",4,1010,32.1,28,25.2,25.5,87,80,"20.2",6,"70","11.5",179,6.1,2013-06-04
"1252",5,1011.1,28.8,26.8,25.6,24.8,89,80,"2.4",1.1,"30","9.3",179,6.1,2013-06-05
"1253",6,1010,29.7,27.1,25.1,25.4,90,79,"13.6",2.4,"70","10",179,6.1,2013-06-06
"1254",7,1006.8,32.3,29.2,27.1,25,78,65,"0.2",9.6,"210","15.8",179,6.1,2013-06-07
"1255",8,1003.6,31.7,29.3,27.5,25.3,80,80,"10.6",5.9,"230","22.6",180,5.94285714285714,2013-06-08
"1256",9,1002.2,31.3,29.1,27.1,26.4,86,80,"15.7",3.2,"240","23.4",180,5.94285714285714,2013-06-09
"1257",10,1002.3,31.2,28.6,26.4,25.5,84,86,"12.6",2,"230","15.3",180,5.94285714285714,2013-06-10
"1258",11,1004.1,28.1,24,22.4,23.2,95,89,"168.9",0,"20","21.7",180,5.94285714285714,2013-06-11
"1259",12,1005.5,26.5,24.4,22.8,21,82,86,"1.1",0.4,"30","23.9",180,5.94285714285714,2013-06-12
"1260",13,1004.8,26.9,25,23.6,22.6,86,88,"1.4",0.3,"40","26.7",180,5.94285714285714,2013-06-13
"1261",14,1003.5,26.2,24.9,23.8,23.9,94,91,"30.8",0,"70","52.4",180,5.94285714285714,2013-06-14
"1262",15,1004.7,26.2,25.6,25.1,25.3,98,91,"62.0",0,"110","26.6",181,5.64285714285714,2013-06-15
"1263",16,1006,27.8,26.8,25.8,26.1,96,88,"5.4",0.7,"100","29.3",181,5.64285714285714,2013-06-16
"1264",17,1004.2,29.9,27.5,26.4,26.4,94,82,"6.5",2.9,"110","23.3",181,5.64285714285714,2013-06-17
"1265",18,1002.1,32.5,28.8,26.8,26,85,59,"Trace",6,"140","11.5",181,5.64285714285714,2013-06-18
"1266",19,1001.6,33,29.7,27.3,25,76,27,"0.0",11.6,"230","11.3",181,5.64285714285714,2013-06-19
"1267",20,1002.5,34.2,30.1,28.1,25.3,76,47,"0.0",9.7,"170","11.8",181,5.64285714285714,2013-06-20
"1268",21,1002.9,33.7,29.6,27.7,25.7,80,69,"0.8",8.7,"90","32.4",181,5.64285714285714,2013-06-21
"1269",22,1003.1,29.3,27.5,25.7,25.6,90,84,"15.2",2,"110","30",182,5.74285714285714,2013-06-22
"1270",23,1004.3,30.8,27.6,25.4,25.5,88,82,"12.1",1.9,"190","24.7",182,5.74285714285714,2013-06-23
"1271",24,1006.1,29.5,27.4,24.9,25.3,88,89,"57.0",0.5,"200","28.6",182,5.74285714285714,2013-06-24
"1272",25,1006.6,30.7,29.3,28,25.6,81,86,"0.7",2.1,"230","42.6",182,5.74285714285714,2013-06-25
"1273",26,1006.8,31.9,29.7,28.6,25.4,78,74,"Trace",6.5,"230","32.1",182,5.74285714285714,2013-06-26
"1274",27,1006.3,32.3,29.8,28.5,25.3,77,74,"1.2",8,"230","29.1",182,5.74285714285714,2013-06-27
"1275",28,1005.8,32.4,29.8,28.7,25.1,76,72,"0.2",5.9,"220","28.6",182,5.74285714285714,2013-06-28
"1276",29,1007.5,31.6,29.8,28.8,25.8,79,69,"Trace",4.9,"200","23.5",183,5.97142857142857,2013-06-29
"1277",30,1008.2,33,29.8,27.9,25.3,77,32,"0.0",11.7,"110","17.2",183,5.97142857142857,2013-06-30
"1278",1,1005.7,31.4,28.2,25.9,25.6,86,81,"29.5",4.6,"120","36.8",183,5.97142857142857,2013-07-01
"1279",2,1007.9,32.9,29.4,27.4,25,77,71,"0.0",5.6,"160","31.2",183,5.97142857142857,2013-07-02
"1280",3,1009.4,33.2,29.7,27.6,25.4,78,48,"Trace",9.6,"170","17.3",183,5.97142857142857,2013-07-03
"1281",4,1008,32.7,29.5,27.8,24.8,76,36,"Trace",8,"200","11",183,5.97142857142857,2013-07-04
"1282",5,1007.5,33,29.8,27.6,23.9,71,42,"0.0",11.2,"220","12.8",183,5.97142857142857,2013-07-05
"1283",6,1008.4,30.4,28.5,27.3,24.8,81,70,"4.6",3.7,"210","20.5",184,7,2013-07-06
"1284",7,1010,31.2,27.3,25,24.5,85,82,"40.7",3.1,"210","24.8",184,7,2013-07-07
"1285",8,1010.8,32,28.8,26.3,24.3,77,79,"0.3",9.4,"200","16.6",184,7,2013-07-08
"1286",9,1009,33.2,29,27,24.7,78,70,"Trace",5.5,"150","9.5",184,7,2013-07-09
"1287",10,1007.8,30.7,27.5,25.8,24.8,85,78,"14.2",3.9,"140","9.2",184,7,2013-07-10
"1288",11,1008.3,32.4,28.8,26.2,24.8,80,49,"0.3",8,"160","7.8",184,7,2013-07-11
"1289",12,1005.2,32.6,29.7,27.5,24.8,76,26,"0.0",10.6,"270","17.1",184,7,2013-07-12
"1290",13,1001,33.5,30.1,28.4,25.8,78,63,"0.0",10.3,"280","32.2",185,5,2013-07-13
"1291",14,1005.1,32.1,29.3,25,25.6,81,89,"41.4",5.4,"240","28.3",185,5,2013-07-14
"1292",15,1008.5,28.1,26,24.8,25.3,96,86,"44.9",0.3,"60","11.3",185,5,2013-07-15
"1293",16,1008.4,27.4,25.9,25.3,24.9,94,83,"7.0",0.2,"120","10.9",185,5,2013-07-16
"1294",17,1006.9,29.9,26.2,24.6,25.1,94,88,"29.5",3.5,"110","20.7",185,5,2013-07-17
"1295",18,1004.8,30.4,27.3,24.6,24.3,84,80,"0.5",5.7,"30","13.8",185,5,2013-07-18
"1296",19,1005.9,29.4,26.8,25.5,25.5,92,85,"23.0",2.3,"60","27.6",185,5,2013-07-19
"1297",20,1007.4,29.7,27.3,26.2,25.9,92,88,"3.5",1.6,"140","23.7",186,5.57142857142857,2013-07-20
"1298",21,1007.3,29.9,27.4,26.3,25.4,89,84,"0.4",2.2,"90","24",186,5.57142857142857,2013-07-21
"1299",22,1008.1,30.4,27.8,26.5,25.9,90,84,"8.2",5.5,"110","22.3",186,5.57142857142857,2013-07-22
"1300",23,1008.5,30.3,27.4,26.2,25.9,92,82,"12.3",2.9,"100","21.2",186,5.57142857142857,2013-07-23
"1301",24,1006.9,27.4,26,25,25.2,95,86,"26.8",0.2,"120","22.3",186,5.57142857142857,2013-07-24
"1302",25,1004.3,26.9,25.7,24.6,25.1,97,88,"57.7",0,"170","25.5",186,5.57142857142857,2013-07-25
"1303",26,1004.8,27.9,26.2,24.9,24.8,92,86,"65.4",0.4,"200","31.5",186,5.57142857142857,2013-07-26
"1304",27,1006.4,31.1,27,24.9,24.9,89,83,"14.8",2.1,"180","26.3",187,4.98571428571429,2013-07-27
"1305",28,1008.4,31.8,27.7,25.3,25.4,87,75,"10.8",6,"150","21",187,4.98571428571429,2013-07-28
"1306",29,1008.5,31.7,28,25.4,25.3,86,47,"0.0",7.5,"130","9.6",187,4.98571428571429,2013-07-29
"1307",30,1006.3,33.1,29.1,26.6,24.7,78,44,"0.0",10.9,"110","12.6",187,4.98571428571429,2013-07-30
"1308",31,1004.7,32.4,29.4,27.7,25.9,81,77,"0.5",6.7,"90","29.7",187,4.98571428571429,2013-07-31
"1309",1,1003.8,30.7,28.3,25.4,25.3,84,79,"4.5",3.4,"90","35",187,4.98571428571429,2013-08-01
"1310",2,1004.5,27.9,26.5,24.5,25.3,93,85,"72.4",0.5,"130","36.4",187,4.98571428571429,2013-08-02
"1311",3,1009.9,31.5,28.2,25.6,25.9,88,84,"13.3",2.5,"150","31.4",188,5.14285714285714,2013-08-03
"1312",4,1011.7,32.9,29.2,27.1,25,79,49,"Trace",6.5,"150","9.6",188,5.14285714285714,2013-08-04
"1313",5,1009.4,32.9,29.4,27,23.8,73,18,"0.0",11.5,"220","7.8",188,5.14285714285714,2013-08-05
"1314",6,1009,33.1,29.5,27.4,25.3,78,39,"0.0",10.7,"120","10.5",188,5.14285714285714,2013-08-06
"1315",7,1010.3,31.7,29.2,27.7,25.7,82,71,"0.5",6.6,"140","18.1",188,5.14285714285714,2013-08-07
"1316",8,1010.8,32.7,29.4,26.7,24.9,78,58,"1.3",8.7,"170","14.2",188,5.14285714285714,2013-08-08
"1317",9,1008.9,32.5,29.6,27.3,24.8,76,25,"0.0",10.8,"250","19.5",188,5.14285714285714,2013-08-09
"1318",10,1008.4,33.2,30,28.2,26,80,53,"0.0",6.3,"290","14.7",189,5.38571428571429,2013-08-10
"1319",11,1008.8,33.1,29.8,27.7,25.3,77,51,"0.0",11.4,"110","15.9",189,5.38571428571429,2013-08-11
"1320",12,1006.5,34.9,30.6,27.7,24.5,71,53,"Trace",11.3,"50","13.5",189,5.38571428571429,2013-08-12
"1321",13,1002.2,29.9,27.5,25.4,24.8,86,85,"48.4",0.3,"70","54.3",189,5.38571428571429,2013-08-13
"1322",14,999.3,27.6,26.6,25.2,25.2,92,88,"59.4",0.4,"150","55",189,5.38571428571429,2013-08-14
"1323",15,1002.9,28.9,28.2,26.5,25.1,83,88,"0.7",0.6,"200","46.4",189,5.38571428571429,2013-08-15
"1324",16,1000.7,28.7,28,26.8,25.6,87,88,"5.3",0,"200","38.1",189,5.38571428571429,2013-08-16
"1325",17,999.6,29.6,28.2,26.3,25.7,86,89,"35.6",1.2,"210","33.3",190,5.17142857142857,2013-08-17
"1326",18,1001.4,30.2,28.4,26.9,25.9,86,86,"3.7",0.9,"200","24.7",190,5.17142857142857,2013-08-18
"1327",19,1001.6,29.8,27.5,26.3,26.1,92,83,"30.6",2.6,"190","12.5",190,5.17142857142857,2013-08-19
"1328",20,1000.7,31.6,28.9,26.8,25.5,82,73,"Trace",8.2,"230","7.5",190,5.17142857142857,2013-08-20
"1329",21,998.4,31,29.2,27.4,25.5,81,82,"0.2",3.5,"300","11.8",190,5.17142857142857,2013-08-21
"1330",22,996.2,31,29.2,26.4,25.8,82,86,"20.1",1,"280","35.7",190,5.17142857142857,2013-08-22
"1331",23,999.4,29.5,28.6,26.6,25.7,84,88,"26.0",0,"230","42.1",190,5.17142857142857,2013-08-23
